从程序中的得到的数字	与其对应的卦名
0	2坤为地
1	24地雷复
2	7地水师
3	19地泽临
4	15地山谦
5	36地火明夷
6	46地风升
7	11地天泰
8	16雷地豫
9	51震为雷
10	40雷水解
11	54雷泽归妹
12	62雷山小过
13	55雷火丰
14	32雷风恒
15	34雷天大壮
16	8水地比
17	3水雷屯
18	29坎为水
19	60水泽节
20	39水山蹇
21	63水火既济
22	48水风井
23	5水天需
24	45泽地萃
25	17泽雷随
26	47泽水困
27	58兑为泽
28	31泽山咸
29	49泽火革
30	28泽风大过
31	43泽天夬
32	23山地剥
33	27山雷颐
34	4山水蒙
35	41山泽损
36	52艮为山
37	22山火贲
38	18山风蛊
39	26山天大畜
40	35火地晋
41	21火雷噬嗑
42	64火水未济
43	38火泽睽
44	56火山旅
45	30离为火
46	50火风鼎
47	14火天大有
48	20风地观
49	42风雷益
50	59风水涣
51	61风泽中孚
52	53风山渐
53	37风火家人
54	57巽为风
55	9风天小畜
56	12天地否
57	25天雷无妄
58	6天水讼
59	10天泽履
60	33天山遁
61	13天火同人
62	44天风姤
63	1乾为天
